Movie{name='It Follows', year=2014, type='Horror', rating=6.8}
Movie{name='A Quiet Place', year=2018, type='Horror', rating=7.5}
Movie{name='The Shining', year=1980, type='Horror', rating=8.8}
Movie{name='The Blair Witch Project', year=1999, type='Horror', rating=6.5}
Movie{name='Psycho', year=1960, type='Horror', rating=8.7}
Movie{name='Let the Right One In', year=2008, type='Horror', rating=7.9}
Movie{name='The Witch', year=2015, type='Horror', rating=6.9}
Movie{name='Velvet Shadows', year=2021, type='Horror', rating=8.7}
Movie{name='Paranormal Activity', year=2007, type='Horror', rating=6.3}
Movie{name='The Ring', year=2002, type='Horror', rating=7.1}
Movie{name='The Others', year=2001, type='Horror', rating=7.6}
Movie{name='The Conjuring', year=2013, type='Horror', rating=7.5}
Movie{name='The Sixth Sense', year=1999, type='Horror', rating=8.1}
Movie{name='A Nightmare on Elm Street', year=1984, type='Horror', rating=8.2}
Movie{name='Get Out', year=2017, type='Horror', rating=8.6}
Movie{name='Saw', year=2004, type='Horror', rating=7.6}
Movie{name='Insidious', year=2010, type='Horror', rating=6.8}
